马小泽,10002,100,100,100,100.0
﻿冷小明,10001,98,99,100,99.0
董小坤,10003,97,98,99,98.0
周小顺,10005,99,90,100,96.33333333333333
徐小文,10004,94,95,96,95.0
严小祥,10006,95,92,94,93.66666666666667
人缴狡,10124,82,98,100,93.33333333333333
嘉举汐,10218,75,94,99,89.33333333333333
尉诊颠,10168,99,64,97,86.66666666666667
近轩腾,10289,98,85,75,86.0
挖简勾,10122,91,89,76,85.33333333333333
哺馈明,10177,64,95,96,85.0
闽狱城,10100,86,76,91,84.33333333333333
诺缘谤,10336,82,72,99,84.33333333333333
扬菊姻,10217,86,62,100,82.66666666666667
噬愈榔,10311,85,65,98,82.66666666666667
姆等逛,10024,97,82,66,81.66666666666667
耙民潮,10342,88,59,98,81.66666666666667
妓脾墅,10092,90,90,64,81.33333333333333
柔街盖,10176,65,80,99,81.33333333333333
保权品,10133,49,98,95,80.66666666666667
驶本套,10316,63,93,83,79.66666666666667
变梧棋,10271,91,77,70,79.33333333333333
斥妹具,10259,43,94,100,79.0
退宫搔,10028,91,54,91,78.66666666666667
携摊沂,10200,85,72,79,78.66666666666667
豺眠临,10077,92,79,64,78.33333333333333
酷煌敛,10096,94,65,74,77.66666666666667
寥浙蕴,10141,92,84,57,77.66666666666667
访拼疑,10055,77,93,61,77.0
烫弥拟,10152,75,98,57,76.66666666666667
描奸耍,10317,81,83,66,76.66666666666667
再宅耕,10014,73,66,90,76.33333333333333
窟根,10338,85,88,56,76.33333333333333
惯聪登,10053,84,89,55,76.0
吊撒涎,10243,87,65,74,75.33333333333333
膀栋渣,10163,90,88,46,74.66666666666667
伦茨仍,10236,87,65,72,74.66666666666667
瞻圆阮,10013,94,49,80,74.33333333333333
淡帛尔,10171,55,96,72,74.33333333333333
渴热吻,10260,93,80,50,74.33333333333333
砚赁谨,10155,47,91,84,74.0
辩荡怯,10059,51,97,73,73.66666666666667
测逃,10282,63,68,90,73.66666666666667
耿防麻,10247,39,85,97,73.66666666666667
乙栈恢,10324,88,47,84,73.0
泻怒攻,10042,80,93,44,72.33333333333333
斩枣漠,10188,91,35,91,72.33333333333333
嘿敬陀,10347,91,78,48,72.33333333333333
克六藤,10238,81,46,89,72.0
割染屉,10062,76,58,81,71.66666666666667
缄雍错,10105,27,87,100,71.33333333333333
腆向苗,10116,92,39,83,71.33333333333333
里寸,10269,93,54,67,71.33333333333333
纷血澎,10327,63,83,68,71.33333333333333
庭漓消,10318,85,91,37,71.0
堵尚孺,10018,45,80,87,70.66666666666667
隙吧诀,10184,73,87,52,70.66666666666667
帕睛缓,10170,86,49,77,70.66666666666667
嚎打,10057,100,25,86,70.33333333333333
釉殉岂,10189,39,78,93,70.0
禁庆,10140,59,53,97,69.66666666666667
夯圈诫,10052,88,83,37,69.33333333333333
肪剪赵,10263,53,84,71,69.33333333333333
通亩啡,10280,23,91,93,69.0
哟胞圆,10073,65,67,74,68.66666666666667
澡市嫩,10197,77,47,82,68.66666666666667
斥溜辑,10120,73,89,44,68.66666666666667
诵俩鸡,10222,73,96,37,68.66666666666667
播勘赵,10307,90,40,76,68.66666666666667
凄犁独,10195,20,90,95,68.33333333333333
盟翱垫,10191,85,77,43,68.33333333333333
宣勇摇,10035,90,53,61,68.0
呜蛇倒,10019,99,64,41,68.0
繁露缚,10274,36,92,75,67.66666666666667
箭密峰,10201,80,49,74,67.66666666666667
筋讨图,10343,54,95,53,67.33333333333333
标刃垣,10037,56,76,69,67.0
铀维黔,10094,72,37,92,67.0
根捻烈,10017,69,41,91,67.0
幽夜翰,10165,46,82,73,67.0
氦碉赴,10210,81,83,37,67.0
箱锅酮,10296,33,76,92,67.0
坟约错,10325,23,79,99,67.0
巷百位,10026,78,85,37,66.66666666666667
吹欺霸,10178,46,92,62,66.66666666666667
短价催,10068,53,74,72,66.33333333333333
掉徽嚏,10119,57,78,64,66.33333333333333
窘慎垫,10341,53,95,51,66.33333333333333
贝哦乎,10031,25,86,87,66.0
眨村澜,10340,26,97,75,66.0
暂噬米,10027,35,83,79,65.66666666666667
僵诈提,10101,51,77,68,65.33333333333333
熄柳罐,10011,77,38,80,65.0
挞瑚慕,10132,40,74,81,65.0
薯贯洞,10323,78,58,59,65.0
人枷锄,10091,88,48,58,64.66666666666667
险魏矣,10241,36,75,83,64.66666666666667
许快阶,10275,80,53,61,64.66666666666667
砸摇铅,10315,70,86,38,64.66666666666667
诬慑呕,10025,44,72,77,64.33333333333333
轮嫌查,10016,75,67,51,64.33333333333333
褪则萄,10208,90,46,57,64.33333333333333
坡露辞,10276,76,90,27,64.33333333333333
删工鞋,10251,17,95,81,64.33333333333333
反父呸,10345,54,40,99,64.33333333333333
亦蝶史,10301,83,74,36,64.33333333333333
斩竞恿,10114,32,82,78,64.0
球芜愈,10227,67,63,62,64.0
芜卸僻,10319,14,80,98,64.0
患奖莆,10174,93,48,50,63.666666666666664
前壕陆,10332,20,80,91,63.666666666666664
胳胃跟,10123,75,84,31,63.333333333333336
输疮死,10281,67,95,28,63.333333333333336
好郊辉,10221,77,45,68,63.333333333333336
苞咸鹃,10216,20,74,96,63.333333333333336
藻贸照,10038,37,77,75,63.0
莎瓶详,10074,51,79,59,63.0
霜撇焦,10144,10,96,83,63.0
节宏秸,10285,81,72,36,63.0
羚八涅,10339,62,64,63,63.0
坍暮扣,10069,84,55,49,62.666666666666664
窑赣唯,10145,72,85,31,62.666666666666664
素瞪酪,10115,82,24,82,62.666666666666664
煌劳,10065,71,44,72,62.333333333333336
嗽遂剪,10348,11,94,82,62.333333333333336
撮耳汗,10056,53,69,64,62.0
丘停蔡,10148,83,80,23,62.0
见与朴,10128,90,71,25,62.0
粟泻栈,10235,88,49,48,61.666666666666664
虫瞒草,10231,59,65,61,61.666666666666664
阔隧籍,10095,79,55,50,61.333333333333336
旷尚彩,10150,81,40,61,60.666666666666664
腐氢奎,10020,74,62,45,60.333333333333336
蚊扼舌,10109,87,43,51,60.333333333333336
兜滚考,10151,52,83,46,60.333333333333336
征负独,10288,38,52,90,60.0
沙禽掠,10061,72,81,26,59.666666666666664
戌康贩,10187,68,61,49,59.333333333333336
缠道啤,10249,42,94,42,59.333333333333336
